sample_id,case_id,boundary_type,x_star,y_star,u_bc,v_bc,p_bc,normal_x,normal_y
242,B-train-2__ip_skewed_top,wall,1.6,-0.5,0.0,0.0,,0.0,-1.0
243,B-train-2__ip_skewed_top,wall,1.6400000000000001,-0.5,0.0,0.0,,0.0,-1.0
244,B-train-2__ip_skewed_top,wall,1.68,-0.5,0.0,0.0,,0.0,-1.0
245,B-train-2__ip_skewed_top,wall,1.72,-0.5,0.0,0.0,,0.0,-1.0
246,B-train-2__ip_skewed_top,wall,1.76,-0.5,0.0,0.0,,0.0,-1.0
247,B-train-2__ip_skewed_top,wall,1.8,-0.5,0.0,0.0,,0.0,-1.0
248,B-train-2__ip_skewed_top,wall,1.84,-0.5,0.0,0.0,,0.0,-1.0
249,B-train-2__ip_skewed_top,wall,1.8800000000000001,-0.5,0.0,0.0,,0.0,-1.0
250,B-train-2__ip_skewed_top,wall,1.92,-0.5,0.0,0.0,,0.0,-1.0
251,B-train-2__ip_skewed_top,wall,1.96,-0.5,0.0,0.0,,0.0,-1.0
252,B-train-2__ip_skewed_top,wall,2.0,-0.5,0.0,0.0,,0.0,-1.0
253,B-train-2__ip_skewed_top,wall,2.04,-0.5,0.0,0.0,,0.0,-1.0
254,B-train-2__ip_skewed_top,wall,2.08,-0.5,0.0,0.0,,0.0,-1.0
255,B-train-2__ip_skewed_top,wall,2.12,-0.5,0.0,0.0,,0.0,-1.0
256,B-train-2__ip_skewed_top,wall,2.16,-0.5,0.0,0.0,,0.0,-1.0
257,B-train-2__ip_skewed_top,wall,2.2,-0.5,0.0,0.0,,0.0,-1.0
258,B-train-2__ip_skewed_top,wall,2.24,-0.5,0.0,0.0,,0.0,-1.0
259,B-train-2__ip_skewed_top,wall,2.2800000000000002,-0.5,0.0,0.0,,0.0,-1.0
260,B-train-2__ip_skewed_top,wall,2.32,-0.5,0.0,0.0,,0.0,-1.0
261,B-train-2__ip_skewed_top,wall,2.36,-0.5,0.0,0.0,,0.0,-1.0
262,B-train-2__ip_skewed_top,wall,2.4,-0.5,0.0,0.0,,0.0,-1.0
263,B-train-2__ip_skewed_top,wall,2.44,-0.5,0.0,0.0,,0.0,-1.0
264,B-train-2__ip_skewed_top,wall,2.48,-0.5,0.0,0.0,,0.0,-1.0
