run|cell|train_seed|obs_seed|rc|rel_l2_u|rel_l2_speed|rel_l2_p|wall_ms|metrics_present|metrics_root
rev2609_t5c17__s44__o0|t5c17|44|0|0|0.0414022|0.0274073|0.036828|113458|YES|pinn
rev2609_t5c17__s45__o0|t5c17|45|0|0|0.0370828|0.0256947|0.0305569|113681|YES|pinn
rev2609_t5c17__s46__o0|t5c17|46|0|0|0.0368955|0.0245865|0.0328771|112496|YES|pinn
rev2609_t5c18__s42__o0|t5c18|42|0|0|0.0378458|0.0227735|0.0304031|117568|YES|pinn
rev2609_t5c18__s43__o0|t5c18|43|0|0|0.0323736|0.0225237|0.0315548|115175|YES|pinn
rev2609_t5c18__s44__o0|t5c18|44|0|0|0.0400676|0.0260315|0.0381104|116137|YES|pinn
rev2609_t5c18__s45__o0|t5c18|45|0|0|0.0371795|0.0256874|0.0313124|115387|YES|pinn
rev2609_t5c18__s46__o0|t5c18|46|0|0|0.0354887|0.0237311|0.0326357|116596|YES|pinn
rev2609_t5c19__s43__o0|t5c19|43|0|0|0.0322362|0.0221703|0.0306389|171106|YES|pinn
rev2609_t5c19__s44__o0|t5c19|44|0|0|0.0408487|0.0265128|0.0269591|173107|YES|pinn
rev2609_t5c19__s45__o0|t5c19|45|0|0|0.0382237|0.0259156|0.0255066|170979|YES|pinn
rev2609_t5c19__s46__o0|t5c19|46|0|0|0.0364071|0.0246195|0.0190808|171640|YES|pinn
rev2609b_t5c20__s42__o0|t5c20|42|0|0|0.0358352|0.0358336|0.042889|146703|YES|pinn
rev2609b_t5c20__s43__o0|t5c20|43|0|0|0.0344779|0.0344783|0.0329668|136685|YES|pinn
rev2609b_t5c20__s44__o0|t5c20|44|0|0|0.034607|0.0346061|0.0752804|140913|YES|pinn
rev2609b_t5c20__s45__o0|t5c20|45|0|0|0.0306313|0.0306298|0.0941392|139553|YES|pinn
rev2609b_t5c20__s46__o0|t5c20|46|0|0|0.0313053|0.0313033|0.0493523|138413|YES|pinn
rev2609b_t5c21__s42__o0|t5c21|42|0|1|NA|NA|NA|4332|YES|pinn
rev2609b_t5c22__s42__o0|t5c22|42|0|0|NA|NA|NA|120875|YES|supervised
rev2609b_t5c22__s43__o0|t5c22|43|0|0|NA|NA|NA|173352|YES|supervised
rev2609b_t5c22__s44__o0|t5c22|44|0|0|NA|NA|NA|212881|YES|supervised
rev2609b_t5c22__s45__o0|t5c22|45|0|0|NA|NA|NA|210590|YES|supervised
rev2609b_t5c22__s46__o0|t5c22|46|0|0|NA|NA|NA|199261|YES|supervised
rev2609b_t5c23__s42__o0|t5c23|42|0|0|NA|NA|NA|72438|YES|supervised
rev2609b_t5c23__s43__o0|t5c23|43|0|0|NA|NA|NA|123397|YES|supervised
rev2609b_t5c23__s44__o0|t5c23|44|0|0|NA|NA|NA|82229|YES|supervised
rev2609b_t5c23__s45__o0|t5c23|45|0|0|NA|NA|NA|111105|YES|supervised
rev2609b_t5c23__s46__o0|t5c23|46|0|0|NA|NA|NA|101471|YES|supervised
rev2609_t5c04__s42__o1|t5c04|42|1|0|0.030281|0.030279|0.0914573|61773|YES|pinn
rev2609_t5c08__s42__o1|t5c08|42|1|0|0.0283517|0.0283476|0.0977122|63139|YES|pinn
rev2609_t5c04__s43__o1|t5c04|43|1|0|0.0205975|0.0205948|0.0973591|63979|YES|pinn
rev2609_t5c08__s43__o1|t5c08|43|1|0|0.0327577|0.0327495|0.102435|62873|YES|pinn
rev2609_t5c04__s42__o2|t5c04|42|2|0|0.0237869|0.0237869|0.0953237|64823|YES|pinn
rev2609_t5c08__s42__o2|t5c08|42|2|0|0.027288|0.0272829|0.0934504|65707|YES|pinn
rev2609_t5c04__s43__o2|t5c04|43|2|0|0.017647|0.017647|0.0972279|67160|YES|pinn
rev2609_t5c08__s43__o2|t5c08|43|2|0|0.0307804|0.0307694|0.120501|64706|YES|pinn
rev2609_t5c04__s42__o3|t5c04|42|3|0|0.0216103|0.0216057|0.0880645|63989|YES|pinn
rev2609_t5c08__s42__o3|t5c08|42|3|0|0.0237517|0.0237404|0.0927843|61898|YES|pinn
rev2609_t5c04__s43__o3|t5c04|43|3|0|0.0181824|0.0181669|0.0983589|63928|YES|pinn
rev2609_t5c08__s43__o3|t5c08|43|3|0|0.025484|0.0254598|0.104154|65244|YES|pinn
rev2609b_t5c21__s42__o0|t5c21|42|0|0|0.0126294|0.0126296|0.0418504|130389|YES|pinn
rev2609b_t5c21__s43__o0|t5c21|43|0|0|0.0168136|0.0168201|0.0566824|129537|YES|pinn
rev2609b_t5c21__s44__o0|t5c21|44|0|0|0.013454|0.013453|0.051899|131944|YES|pinn
rev2609b_t5c21__s45__o0|t5c21|45|0|0|0.0112467|0.0112513|0.0852394|131180|YES|pinn
rev2609b_t5c21__s46__o0|t5c21|46|0|0|0.0143965|0.0144035|0.0399128|142218|YES|pinn
