x_star,y_star,u_star,v_star,p_star,bc_tag
0.684659,-0.136364,1.38843,-6.31361e-09,977.037,0
0.59596,0.0454545,1.4876,2.30989e-09,978.102,0
0.644342,-0.0454546,1.4876,-2.27907e-09,977.521,0
0.59596,0.136364,1.38843,6.44374e-09,978.102,0
0.757231,-0.318182,0.892562,-9.30435e-09,976.166,0
0.773358,-0.409091,0.495868,-6.61706e-09,975.973,0
0.773358,-0.5,1.77398e-31,-2.88559e-29,975.973,3
0.749168,-0.227273,1.19008,-8.90217e-09,976.263,0
0.809644,-0.272727,1.05372,-9.40166e-09,975.537,0
0.507261,0.227273,1.19008,9.37804e-09,979.166,0
0.57177,0.227273,1.19008,9.18738e-09,978.392,0
0.0394364,0.0505298,1.48468,9.73966e-10,984.78,0
0,0.0379221,1.49137,1.79296e-40,985.253,1
0.0188574,0.0550999,1.48178,5.45064e-10,985.027,0
0.0620158,0.0722233,1.4687,2.00944e-09,984.509,0
0.113775,0.0833807,1.45829,3.50495e-09,983.888,0
0.08671,0.0959487,1.44476,3.37673e-09,984.213,0
0.143376,0.110013,1.42738,5.12684e-09,983.533,0
0.187295,0.137726,1.38619,6.9092e-09,983.005,0
0.361778,0.15935,1.34765,8.02287e-09,980.912,0
0.236837,0.123439,1.40858,6.58393e-09,982.411,0
0.310947,0.158398,1.34946,8.12728e-09,981.522,0
0.390359,0.222223,1.2037,9.74716e-09,980.569,0
0.44617,0.267794,1.06972,1.00817e-08,979.899,0
0.73304,-0.0454546,1.4876,-2.24074e-09,976.457,0
0.773358,-0.136364,1.38843,-6.23622e-09,975.973,0
0.64031,0.227273,1.19008,9.04274e-09,977.569,0
0.684659,0.136364,1.38843,6.31574e-09,977.037,0
0.684659,0.0454545,1.4876,2.26049e-09,977.037,0
0.862057,-0.318182,0.892562,-9.25614e-09,974.908,0
0.862057,-0.409091,0.495868,-6.5986e-09,974.908,0
0.862057,-0.5,1.77398e-31,-2.88244e-29,974.908,3
0.862057,-0.227273,1.19008,-8.82477e-09,974.908,0
0.507261,0.318182,0.892562,9.67403e-09,979.166,0
0.612087,0.318182,0.892562,9.45748e-09,977.908,0
0.70885,0.227273,1.19008,8.9429e-09,976.747,0
0.0394364,0.0738458,1.46728,1.41632e-09,984.78,0
0,0.0632036,1.47603,2.97193e-40,985.253,1
0.0182799,0.0822798,1.45938,7.84581e-10,985.034,0
0.773358,0.0454545,1.4876,2.2263e-09,975.973,0
0.0611406,0.105419,1.43332,2.8606e-09,984.519,0
0.113776,0.121953,1.41076,5.00515e-09,983.888,0
0.0862093,0.133094,1.39372,4.55934e-09,984.219,0
0.143376,0.150392,1.36429,6.76249e-09,983.533,0
0.226451,0.160767,1.34492,8.15303e-09,982.536,0
0.175817,0.18156,1.30222,8.45792e-09,983.143,0
0.304043,0.22858,1.18651,1.02266e-08,981.605,0
0.258499,0.188573,1.28664,9.24327e-09,982.151,0
0.339374,0.259669,1.09543,1.0518e-08,981.181,0
0.41767,0.329106,0.850134,9.79038e-09,980.241,0
0.866089,-0.0909091,1.45041,-4.31553e-09,974.86,0
0.813676,-0.0454546,1.4876,-2.21392e-09,975.489,0
0.918502,-0.136364,1.38843,-6.17461e-09,974.231,0
0.684659,0.318182,0.892562,9.36637e-09,977.037,0
0.773358,0.136364,1.38843,6.23739e-09,975.973,0
0.950756,-0.5,1.77398e-31,-2.8793e-29,973.844,3
0.934629,-0.318182,0.892562,-9.23296e-09,974.037,0
0.942692,-0.409091,0.495868,-6.58989e-09,973.941,0
0.950756,-0.227273,1.19008,-8.79479e-09,973.844,0
0.773358,0.227273,1.19008,8.88322e-09,975.973,0
0.684659,0.409091,0.495868,6.63908e-09,977.037,0
0.507261,0.409091,0.495868,6.76131e-09,979.166,0
0.59596,0.409091,0.495868,6.69175e-09,978.102,0
0.773358,0.318182,0.892562,9.2917e-09,975.973,0
0.0395564,0.119501,1.41432,2.25068e-09,984.778,0
0.0182799,0.106457,1.432,1.00645e-09,985.034,0
0,0.088485,1.45302,4.13018e-40,985.253,1
0.862057,0.0454545,1.4876,2.20875e-09,974.908,0
0.0611406,0.148596,1.36752,3.92457e-09,984.519,0
0.11409,0.163874,1.33887,6.4868e-09,983.884,0
0.0862093,0.173243,1.31992,5.72759e-09,984.219,0
0.145074,0.198078,1.26459,8.41726e-09,983.512,0
0.21135,0.215699,1.22084,9.85785e-09,982.717,0
0.446145,0.441282,0.331623,4.87673e-09,979.899,0
0.292755,0.293909,0.981704,1.07474e-08,981.74,0
0.250192,0.253016,1.1159,1.06926e-08,982.251,0
0.339331,0.338659,0.811862,9.88993e-09,981.181,0
0.390329,0.387656,0.598338,8.00761e-09,980.569,0
0.910438,-0.0454546,1.4876,-2.20191e-09,974.328,0
0.98301,-0.136364,1.38843,-6.15579e-09,973.457,0
0.773358,0.409091,0.495868,6.62012e-09,975.973,0
0.837866,0.227273,1.19008,8.84215e-09,975.199,0
0.894311,0.136364,1.38843,6.17779e-09,974.521,0
1.03945,-0.409091,0.495868,-6.58109e-09,972.78,0
1.03945,-0.5,1.77398e-31,-2.87615e-29,972.78,3
1.03945,-0.227273,1.19008,-8.77685e-09,972.78,0
1.03945,-0.318182,0.892562,-9.21218e-09,972.78,0
0.684659,0.5,1.77398e-31,2.88874e-29,977.037,3
0.507261,0.5,1.77398e-31,2.89503e-29,979.166,3
0.205499,0.258978,1.09758,1.06229e-08,982.787,0
0.59596,0.5,1.77398e-31,2.89189e-29,978.102,3
0.773358,0.5,1.77398e-31,2.88559e-29,975.973,3
0.862057,0.318182,0.892562,9.25513e-09,974.908,0
0.0200249,0.132245,1.39507,1.34337e-09,985.013,0
0,0.113766,1.42234,5.26901e-40,985.253,1
0.0200249,0.156317,1.35339,1.56594e-09,985.013,0
0.950756,0.0454545,1.4876,2.20166e-09,973.844,0
0.0372884,0.179851,1.30592,3.09094e-09,984.806,0
0.0677186,0.197446,1.26609,5.37744e-09,984.44,0
0.0960116,0.202362,1.2543,6.92679e-09,984.101,0
0.127768,0.24923,1.12731,9.14908e-09,983.72,0
0.163445,0.264588,1.07996,1.02069e-08,983.292,0
0.418562,0.5,1.77398e-31,2.89818e-29,980.23,3
0.360181,0.442602,0.324621,4.86456e-09,980.931,0
0.217806,0.302624,0.950514,1.0788e-08,982.639,0
0.260314,0.325299,0.865084,1.0482e-08,982.129,0
0.298634,0.389335,0.590512,8.1968e-09,981.669,0
1.03945,-0.0454546,1.4876,-2.1957e-09,972.78,0
1.0959,-0.136364,1.38843,-6.13921e-09,972.102,0
0.870121,0.409091,0.495868,6.59606e-09,974.812,0
0.862057,0.5,1.77398e-31,2.88244e-29,974.908,3
0.950756,0.227273,1.19008,8.79695e-09,973.844,0
1.0072,0.136364,1.38843,6.15279e-09,973.167,0
1.12815,-0.409091,0.495868,-6.57107e-09,971.715,0
1.12815,-0.5,1.77398e-31,-2.873e-29,971.715,3
1.12815,-0.318182,0.892562,-9.20105e-09,971.715,0
1.10396,-0.227273,1.19008,-8.76597e-09,972.005,0
0.950756,0.318182,0.892562,9.23126e-09,973.844,0
0,0.164329,1.33798,7.37032e-40,985.253,1
0,0.139048,1.38399,6.35757e-40,985.253,1
1.03945,0.0454545,1.4876,2.1942e-09,972.78,0
0,0.189611,1.28429,8.40491e-40,985.253,1
0.0195509,0.208007,1.2404,1.95589e-09,985.018,0
0.0420404,0.20711,1.24263,3.84037e-09,984.749,0
0.0679404,0.233466,1.17296,6.08933e-09,984.438,0
0.132113,0.298768,0.964425,9.79122e-09,983.668,0
0.0977541,0.263804,1.08244,8.22854e-09,984.08,0
0.17165,0.339001,0.81047,1.00869e-08,983.193,0
0.329863,0.5,1.77398e-31,2.90133e-29,981.295,3
0.269542,0.438617,0.345692,5.27017e-09,982.019,0
0.217131,0.393923,0.568949,8.17792e-09,982.647,0
1.16041,-0.136364,1.38843,-6.13112e-09,971.328,0
1.12815,-0.0454546,1.4876,-2.18971e-09,971.715,0
0.950756,0.409091,0.495868,6.58261e-09,973.844,0
0.950756,0.5,1.77398e-31,2.8793e-29,973.844,3
1.02333,0.318182,0.892562,9.21617e-09,972.973,0
1.03945,0.227273,1.19008,8.77402e-09,972.78,0
1.07171,0.136364,1.38843,6.14609e-09,972.393,0
1.21685,-0.5,1.77398e-31,-2.86986e-29,970.651,3
1.21685,-0.318182,0.892562,-9.18759e-09,970.651,0
1.21685,-0.409091,0.495868,-6.5652e-09,970.651,0
1.21685,-0.227273,1.19008,-8.75372e-09,970.651,0
1.12412,0.0909091,1.45041,4.26367e-09,971.764,0
0,0.214892,1.22293,9.32353e-40,985.253,1
0.0195509,0.23179,1.17764,2.12883e-09,985.018,0
0.0420404,0.251229,1.12131,4.41399e-09,984.749,0
0.100481,0.363178,0.70861,8.31145e-09,984.047,0
0.0679404,0.273614,1.05081,6.67389e-09,984.438,0
0.0977541,0.299383,0.962219,8.59011e-09,984.08,0
0.125494,0.39963,0.541775,7.66688e-09,983.747,0
0.241165,0.5,1.77398e-31,2.90447e-29,982.359,3
0.185572,0.434278,0.368416,5.70708e-09,983.026,0
1.2733,-0.136364,1.38843,-6.12325e-09,969.973,0
1.19669,-0.0454546,1.4876,-2.18668e-09,970.893,0
1.17654,0.0454545,1.4876,2.18501e-09,971.135,0
1.03139,0.409091,0.495868,6.5791e-09,972.876,0
1.03945,0.5,1.77398e-31,2.87615e-29,972.78,3
1.12815,0.227273,1.19008,8.76362e-09,971.715,0
1.12815,0.318182,0.892562,9.20011e-09,971.715,0
1.1846,0.136364,1.38843,6.13084e-09,971.038,0
1.30555,-0.5,1.77398e-31,-2.86671e-29,969.586,3
1.31362,-0.409091,0.495868,-6.55436e-09,969.49,0
1.28942,-0.318182,0.892562,-9.17863e-09,969.78,0
1.30555,-0.227273,1.19008,-8.7388e-09,969.586,0
0,0.240174,1.1539,1.01801e-39,985.253,1
0.018749,0.260373,1.09323,2.22474e-09,985.028,0
0.0680678,0.398156,0.54883,6.40612e-09,984.436,0
0.018749,0.283689,1.01712,2.35121e-09,985.028,0
0.0394412,0.363612,0.706718,4.794e-09,984.78,0
0.0412241,0.305548,0.939844,4.82431e-09,984.758,0
0.0681645,0.313613,0.909882,7.01976e-09,984.435,0
0.0948218,0.439999,0.338406,5.11244e-09,984.115,0
0.152466,0.5,1.71895e-31,2.81742e-29,983.423,3
1.26523,-0.0454546,1.4876,-2.18576e-09,970.07,0
1.33781,-0.136364,1.38843,-6.12241e-09,969.199,0
1.25717,0.0454545,1.4876,2.18577e-09,970.167,0
1.12815,0.409091,0.495868,6.57034e-09,971.715,0
1.12815,0.5,1.77398e-31,2.873e-29,971.715,3
1.24104,0.227273,1.19008,8.74591e-09,970.361,0
1.20073,0.318182,0.892562,9.19206e-09,970.844,0
1.24911,0.136364,1.38843,6.1265e-09,970.264,0
1.39425,-0.409091,0.495868,-6.54433e-09,968.522,0
1.39425,-0.5,1.77398e-31,-2.86356e-29,968.522,3
1.39425,-0.318182,0.892562,-9.17056e-09,968.522,0
1.39425,-0.227273,1.19008,-8.72351e-09,968.522,0
1.44666,-0.272727,1.05372,-9.27182e-09,967.893,0
0,0.265455,1.0772,1.09588e-39,985.253,1
1.30152,0.0909091,1.45041,4.2628e-09,969.635,0
0,0.290736,0.992834,1.16344e-39,985.253,1
0.0222711,0.38607,0.605702,3.01035e-09,984.986,0
0.0246673,0.446649,0.303027,2.60753e-09,984.957,0
0.0233877,0.414299,0.470139,3.07929e-09,984.972,0
0,0.316018,0.900796,1.2216e-39,985.253,1
0,0.366581,0.693712,1.31294e-39,985.253,1
0.0222217,0.332971,0.834784,2.95745e-09,984.986,0
0.0692696,0.5,1.52466e-31,2.50151e-29,984.422,3
1.34587,-0.0454546,1.4876,-2.17936e-09,969.103,0
1.39022,-0.0909091,1.45041,-4.26198e-09,968.57,0
1.35393,0.0454545,1.4876,2.1834e-09,969.006,0
1.20879,0.409091,0.495868,6.56497e-09,970.748,0
1.21685,0.5,1.77398e-31,2.86986e-29,970.651,3
1.30555,0.227273,1.19008,8.74111e-09,969.586,0
1.30555,0.318182,0.892562,9.17774e-09,969.586,0
1.362,0.136364,1.38843,6.11225e-09,968.909,0
1.48295,-0.5,1.77398e-31,-2.86042e-29,967.458,3
1.47489,-0.409091,0.495868,-6.53994e-09,967.554,0
1.49908,-0.318182,0.892562,-9.15266e-09,967.264,0
1.48295,-0.136364,1.38843,-6.10351e-09,967.458,0
1.50714,-0.227273,1.19008,-8.71571e-09,967.167,0
0,0.467706,0.187504,1.0271e-39,985.253,1
0,0.391862,0.578665,1.32105e-39,985.253,1
0,0.442425,0.325561,1.24089e-39,985.253,1
0,0.417144,0.455948,1.33377e-39,985.253,1
0,0.341299,0.801089,1.26612e-39,985.253,1
0,0.5,-5.23363e-30,1.13747e-29,985.253,1
1.44263,-0.0454546,1.4876,-2.17638e-09,967.941,0
1.43457,0.0454545,1.4876,2.18106e-09,968.038,0
1.30555,0.409091,0.495868,6.55567e-09,969.586,0
1.30555,0.5,1.77398e-31,2.86671e-29,969.586,3
1.41844,0.227273,1.19008,8.72557e-09,968.232,0
1.37812,0.318182,0.892562,9.17168e-09,968.716,0
1.48295,0.136364,1.38843,6.10046e-09,967.458,0
1.52327,-0.0454546,1.4876,-2.17972e-09,966.974,0
1.57165,-0.5,1.77398e-31,-2.85727e-29,966.393,3
1.57165,-0.409091,0.495868,-6.53509e-09,966.393,0
1.57165,-0.318182,0.892562,-9.13839e-09,966.393,0
1.57165,-0.136364,1.38843,-6.09311e-09,966.393,0
1.57165,-0.227273,1.19008,-8.70404e-09,966.393,0
1.50311,0.0454545,1.4876,2.17687e-09,967.216,0
1.39425,0.5,1.77398e-31,2.86356e-29,968.522,3
1.38619,0.409091,0.495868,6.54971e-09,968.619,0
1.48295,0.227273,1.19008,8.71543e-09,967.458,0
1.48295,0.318182,0.892562,9.15426e-09,967.458,0
1.57165,0.136364,1.38843,6.08469e-09,966.393,0
1.57165,0.0454545,1.4876,2.16944e-09,966.393,0
1.59181,-0.0454546,1.4876,-2.17678e-09,966.151,0
1.66035,-0.5,1.77398e-31,-2.85412e-29,965.329,3
1.66035,-0.409091,0.495868,-6.51856e-09,965.329,0
1.66035,-0.318182,0.892562,-9.12481e-09,965.329,0
