sample_id,case_id,boundary_type,x_star,y_star,u_bc,v_bc,p_bc,normal_x,normal_y
214,C-base,wall,1.92,-0.5,0.0,0.0,,0.0,-1.0
215,C-base,wall,2.08,-0.5,0.0,0.0,,0.0,-1.0
216,C-base,wall,2.24,-0.5,0.0,0.0,,0.0,-1.0
217,C-base,wall,2.4,-0.5,0.0,0.0,,0.0,-1.0
218,C-base,wall,2.56,-0.5,0.0,0.0,,0.0,-1.0
219,C-base,wall,2.72,-0.5,0.0,0.0,,0.0,-1.0
220,C-base,wall,2.88,-0.5,0.0,0.0,,0.0,-1.0
221,C-base,wall,3.04,-0.5,0.0,0.0,,0.0,-1.0
222,C-base,wall,3.2,-0.5,0.0,0.0,,0.0,-1.0
223,C-base,wall,3.36,-0.5,0.0,0.0,,0.0,-1.0
224,C-base,wall,3.52,-0.5,0.0,0.0,,0.0,-1.0
225,C-base,wall,3.68,-0.5,0.0,0.0,,0.0,-1.0
226,C-base,wall,3.84,-0.5,0.0,0.0,,0.0,-1.0
227,C-base,wall,4.0,-0.5,0.0,0.0,,0.0,-1.0
228,C-base,wall,4.16,-0.49990966784,0.0,0.0,,0.0,-1.0
229,C-base,wall,4.32,-0.49932121088,0.0,0.0,,0.0,-1.0
230,C-base,wall,4.48,-0.49785216511999997,0.0,0.0,,0.0,-1.0
231,C-base,wall,4.64,-0.49523618816,0.0,0.0,,0.0,-1.0
232,C-base,wall,4.8,-0.491312,0.0,0.0,,0.0,-1.0
233,C-base,wall,4.96,-0.48601232384,0.0,0.0,,0.0,-1.0
234,C-base,wall,5.12,-0.47935282687999997,0.0,0.0,,0.0,-1.0
235,C-base,wall,5.28,-0.47142106112,0.0,0.0,,0.0,-1.0
236,C-base,wall,5.44,-0.46236540416,0.0,0.0,,0.0,-1.0
237,C-base,wall,5.6000000000000005,-0.45238399999999995,0.0,0.0,,0.0,-1.0
238,C-base,wall,5.76,-0.44171369984,0.0,0.0,,0.0,-1.0
239,C-base,wall,5.92,-0.43061900288,0.0,0.0,,0.0,-1.0
240,C-base,wall,6.08,-0.41938099712,0.0,0.0,,0.0,-1.0
241,C-base,wall,6.24,-0.40828630016,0.0,0.0,,0.0,-1.0
242,C-base,wall,6.4,-0.39761599999999997,0.0,0.0,,0.0,-1.0
243,C-base,wall,6.5600000000000005,-0.38763459583999993,0.0,0.0,,0.0,-1.0
244,C-base,wall,6.72,-0.3785789388799999,0.0,0.0,,0.0,-1.0
245,C-base,wall,6.88,-0.37064717311999995,0.0,0.0,,0.0,-1.0
246,C-base,wall,7.04,-0.3639876761599999,0.0,0.0,,0.0,-1.0
247,C-base,wall,7.2,-0.3586879999999999,0.0,0.0,,0.0,-1.0
248,C-base,wall,7.36,-0.3547638118399999,0.0,0.0,,0.0,-1.0
249,C-base,wall,7.5200000000000005,-0.3521478348800001,0.0,0.0,,0.0,-1.0
250,C-base,wall,7.68,-0.3506787891199999,0.0,0.0,,0.0,-1.0
251,C-base,wall,7.84,-0.35009033215999996,0.0,0.0,,0.0,-1.0
252,C-base,wall,8.0,-0.35,0.0,0.0,,0.0,-1.0
253,C-base,wall,8.16,-0.35,0.0,0.0,,0.0,-1.0
254,C-base,wall,8.32,-0.35,0.0,0.0,,0.0,-1.0
255,C-base,wall,8.48,-0.35,0.0,0.0,,0.0,-1.0
256,C-base,wall,8.64,-0.35,0.0,0.0,,0.0,-1.0
257,C-base,wall,8.8,-0.35,0.0,0.0,,0.0,-1.0
258,C-base,wall,8.96,-0.35,0.0,0.0,,0.0,-1.0
259,C-base,wall,9.120000000000001,-0.35,0.0,0.0,,0.0,-1.0
260,C-base,wall,9.28,-0.35,0.0,0.0,,0.0,-1.0
261,C-base,wall,9.44,-0.35,0.0,0.0,,0.0,-1.0
262,C-base,wall,9.6,-0.35,0.0,0.0,,0.0,-1.0
263,C-base,wall,9.76,-0.35,0.0,0.0,,0.0,-1.0
264,C-base,wall,9.92,-0.35,0.0,0.0,,0.0,-1.0
265,C-base,wall,10.08,-0.35,0.0,0.0,,0.0,-1.0
266,C-base,wall,10.24,-0.35,0.0,0.0,,0.0,-1.0
267,C-base,wall,10.4,-0.35,0.0,0.0,,0.0,-1.0
268,C-base,wall,10.56,-0.35,0.0,0.0,,0.0,-1.0
269,C-base,wall,10.72,-0.35,0.0,0.0,,0.0,-1.0
270,C-base,wall,10.88,-0.35,0.0,0.0,,0.0,-1.0
271,C-base,wall,11.040000000000001,-0.35,0.0,0.0,,0.0,-1.0
272,C-base,wall,11.200000000000001,-0.35,0.0,0.0,,0.0,-1.0
273,C-base,wall,11.36,-0.35,0.0,0.0,,0.0,-1.0
274,C-base,wall,11.52,-0.35,0.0,0.0,,0.0,-1.0
275,C-base,wall,11.68,-0.35,0.0,0.0,,0.0,-1.0
276,C-base,wall,11.84,-0.35,0.0,0.0,,0.0,-1.0
277,C-base,wall,12.0,-0.35,0.0,0.0,,0.0,-1.0
278,C-base,wall,12.16,-0.35,0.0,0.0,,0.0,-1.0
279,C-base,wall,12.32,-0.35,0.0,0.0,,0.0,-1.0
280,C-base,wall,12.48,-0.35,0.0,0.0,,0.0,-1.0
281,C-base,wall,12.64,-0.35,0.0,0.0,,0.0,-1.0
282,C-base,wall,12.8,-0.35,0.0,0.0,,0.0,-1.0
283,C-base,wall,12.96,-0.35,0.0,0.0,,0.0,-1.0
284,C-base,wall,13.120000000000001,-0.35,0.0,0.0,,0.0,-1.0
285,C-base,wall,13.280000000000001,-0.35,0.0,0.0,,0.0,-1.0
286,C-base,wall,13.44,-0.35,0.0,0.0,,0.0,-1.0
287,C-base,wall,13.6,-0.35,0.0,0.0,,0.0,-1.0
288,C-base,wall,13.76,-0.35,0.0,0.0,,0.0,-1.0
289,C-base,wall,13.92,-0.35,0.0,0.0,,0.0,-1.0
