sample_id,case_id,boundary_type,x_star,y_star,u_bc,v_bc,p_bc,normal_x,normal_y
74,B-train-3__ip_blunted,inlet,0.0,0.24,1.1836448,0.0,,-1.0,0.0
75,B-train-3__ip_blunted,inlet,0.0,0.25,1.171875,0.0,,-1.0,0.0
76,B-train-3__ip_blunted,inlet,0.0,0.26,1.1586048,0.0,,-1.0,0.0
77,B-train-3__ip_blunted,inlet,0.0,0.27,1.1437118,0.0,,-1.0,0.0
78,B-train-3__ip_blunted,inlet,0.0,0.28,1.1270688,0.0,,-1.0,0.0
79,B-train-3__ip_blunted,inlet,0.0,0.29000000000000004,1.1085437999999999,0.0,,-1.0,0.0
80,B-train-3__ip_blunted,inlet,0.0,0.30000000000000004,1.0879999999999999,0.0,,-1.0,0.0
81,B-train-3__ip_blunted,inlet,0.0,0.31000000000000005,1.0652958,0.0,,-1.0,0.0
82,B-train-3__ip_blunted,inlet,0.0,0.32000000000000006,1.0402847999999998,0.0,,-1.0,0.0
83,B-train-3__ip_blunted,inlet,0.0,0.33000000000000007,1.0128157999999998,0.0,,-1.0,0.0
84,B-train-3__ip_blunted,inlet,0.0,0.33999999999999997,0.9827328000000002,0.0,,-1.0,0.0
85,B-train-3__ip_blunted,inlet,0.0,0.35,0.949875,0.0,,-1.0,0.0
86,B-train-3__ip_blunted,inlet,0.0,0.36,0.9140768,0.0,,-1.0,0.0
87,B-train-3__ip_blunted,inlet,0.0,0.37,0.8751678,0.0,,-1.0,0.0
88,B-train-3__ip_blunted,inlet,0.0,0.38,0.8329728000000001,0.0,,-1.0,0.0
89,B-train-3__ip_blunted,inlet,0.0,0.39,0.7873117999999999,0.0,,-1.0,0.0
90,B-train-3__ip_blunted,inlet,0.0,0.4,0.7379999999999999,0.0,,-1.0,0.0
91,B-train-3__ip_blunted,inlet,0.0,0.41000000000000003,0.6848477999999998,0.0,,-1.0,0.0
92,B-train-3__ip_blunted,inlet,0.0,0.42000000000000004,0.6276607999999997,0.0,,-1.0,0.0
93,B-train-3__ip_blunted,inlet,0.0,0.43000000000000005,0.5662397999999997,0.0,,-1.0,0.0
94,B-train-3__ip_blunted,inlet,0.0,0.44000000000000006,0.5003807999999996,0.0,,-1.0,0.0
95,B-train-3__ip_blunted,inlet,0.0,0.45000000000000007,0.42987499999999956,0.0,,-1.0,0.0
96,B-train-3__ip_blunted,inlet,0.0,0.45999999999999996,0.3545088000000003,0.0,,-1.0,0.0
97,B-train-3__ip_blunted,inlet,0.0,0.47,0.2740638000000002,0.0,,-1.0,0.0
98,B-train-3__ip_blunted,inlet,0.0,0.48,0.18831680000000017,0.0,,-1.0,0.0
99,B-train-3__ip_blunted,inlet,0.0,0.49,0.09703980000000015,0.0,,-1.0,0.0
100,B-train-3__ip_blunted,inlet,0.0,0.5,0.0,0.0,,-1.0,0.0
101,B-train-3__ip_blunted,wall,0.0,0.5,0.0,0.0,,0.0,1.0
102,B-train-3__ip_blunted,wall,0.04,0.5,0.0,0.0,,0.0,1.0
103,B-train-3__ip_blunted,wall,0.08,0.5,0.0,0.0,,0.0,1.0
104,B-train-3__ip_blunted,wall,0.12,0.5,0.0,0.0,,0.0,1.0
105,B-train-3__ip_blunted,wall,0.16,0.5,0.0,0.0,,0.0,1.0
106,B-train-3__ip_blunted,wall,0.2,0.5,0.0,0.0,,0.0,1.0
107,B-train-3__ip_blunted,wall,0.24,0.5,0.0,0.0,,0.0,1.0
108,B-train-3__ip_blunted,wall,0.28,0.5,0.0,0.0,,0.0,1.0
109,B-train-3__ip_blunted,wall,0.32,0.5,0.0,0.0,,0.0,1.0
110,B-train-3__ip_blunted,wall,0.36,0.5,0.0,0.0,,0.0,1.0
111,B-train-3__ip_blunted,wall,0.4,0.5,0.0,0.0,,0.0,1.0
112,B-train-3__ip_blunted,wall,0.44,0.5,0.0,0.0,,0.0,1.0
113,B-train-3__ip_blunted,wall,0.48,0.5,0.0,0.0,,0.0,1.0
114,B-train-3__ip_blunted,wall,0.52,0.5,0.0,0.0,,0.0,1.0
115,B-train-3__ip_blunted,wall,0.56,0.5,0.0,0.0,,0.0,1.0
116,B-train-3__ip_blunted,wall,0.6,0.5,0.0,0.0,,0.0,1.0
117,B-train-3__ip_blunted,wall,0.64,0.5,0.0,0.0,,0.0,1.0
118,B-train-3__ip_blunted,wall,0.68,0.5,0.0,0.0,,0.0,1.0
119,B-train-3__ip_blunted,wall,0.72,0.5,0.0,0.0,,0.0,1.0
120,B-train-3__ip_blunted,wall,0.76,0.5,0.0,0.0,,0.0,1.0
121,B-train-3__ip_blunted,wall,0.8,0.5,0.0,0.0,,0.0,1.0
122,B-train-3__ip_blunted,wall,0.84,0.5,0.0,0.0,,0.0,1.0
123,B-train-3__ip_blunted,wall,0.88,0.5,0.0,0.0,,0.0,1.0
124,B-train-3__ip_blunted,wall,0.92,0.5,0.0,0.0,,0.0,1.0
125,B-train-3__ip_blunted,wall,0.96,0.5,0.0,0.0,,0.0,1.0
126,B-train-3__ip_blunted,wall,1.0,0.5,0.0,0.0,,0.0,1.0
127,B-train-3__ip_blunted,wall,1.04,0.5,0.0,0.0,,0.0,1.0
128,B-train-3__ip_blunted,wall,1.08,0.5,0.0,0.0,,0.0,1.0
129,B-train-3__ip_blunted,wall,1.12,0.5,0.0,0.0,,0.0,1.0
130,B-train-3__ip_blunted,wall,1.16,0.5,0.0,0.0,,0.0,1.0
131,B-train-3__ip_blunted,wall,1.2,0.5,0.0,0.0,,0.0,1.0
132,B-train-3__ip_blunted,wall,1.24,0.5,0.0,0.0,,0.0,1.0
133,B-train-3__ip_blunted,wall,1.28,0.5,0.0,0.0,,0.0,1.0
134,B-train-3__ip_blunted,wall,1.32,0.5,0.0,0.0,,0.0,1.0
135,B-train-3__ip_blunted,wall,1.36,0.5,0.0,0.0,,0.0,1.0
136,B-train-3__ip_blunted,wall,1.4000000000000001,0.5,0.0,0.0,,0.0,1.0
137,B-train-3__ip_blunted,wall,1.44,0.5,0.0,0.0,,0.0,1.0
138,B-train-3__ip_blunted,wall,1.48,0.5,0.0,0.0,,0.0,1.0
139,B-train-3__ip_blunted,wall,1.52,0.5,0.0,0.0,,0.0,1.0
140,B-train-3__ip_blunted,wall,1.56,0.5,0.0,0.0,,0.0,1.0
141,B-train-3__ip_blunted,wall,1.6,0.5,0.0,0.0,,0.0,1.0
142,B-train-3__ip_blunted,wall,1.6400000000000001,0.5,0.0,0.0,,0.0,1.0
143,B-train-3__ip_blunted,wall,1.68,0.5,0.0,0.0,,0.0,1.0
144,B-train-3__ip_blunted,wall,1.72,0.5,0.0,0.0,,0.0,1.0
145,B-train-3__ip_blunted,wall,1.76,0.5,0.0,0.0,,0.0,1.0
146,B-train-3__ip_blunted,wall,1.8,0.5,0.0,0.0,,0.0,1.0
147,B-train-3__ip_blunted,wall,1.84,0.5,0.0,0.0,,0.0,1.0
148,B-train-3__ip_blunted,wall,1.8800000000000001,0.5,0.0,0.0,,0.0,1.0
149,B-train-3__ip_blunted,wall,1.92,0.5,0.0,0.0,,0.0,1.0
150,B-train-3__ip_blunted,wall,1.96,0.5,0.0,0.0,,0.0,1.0
