x_star,y_star,u_star,v_star,p_star,bc_tag
0.0196754,0.270638,1.14234,-0.037158,234.819,0
0,0.275915,1.13409,-1.99512e-32,235.366,1
0.132352,0.271672,1.1251,-0.104553,232.682,0
0.130955,-0.5,1.27199e-31,-3.53456e-30,233.164,3
0.145635,-0.465698,0.263272,0.00689562,233.102,0
0.125697,-0.414804,0.600047,0.03429,233.91,0
0.162794,-0.440301,0.426242,0.0174204,232.767,0
0.154697,-0.382298,0.749021,0.0521049,233.013,0
0.177182,-0.265832,1.12855,0.0990724,231.839,0
0.202559,-0.305802,1.01591,0.0809597,231.653,0
0.175961,-0.315507,0.996347,0.0838291,232.221,0
0.174068,-0.35162,0.86964,0.0667355,232.443,0
0.176466,-0.135119,1.30644,0.0824015,230.816,0
0.177049,0.00653955,1.34831,-0.00460106,230.33,0
0.178901,-0.102703,1.32664,0.0663311,230.605,0
0.181246,-0.0703767,1.34079,0.0472863,230.444,0
0.183572,-0.0379734,1.34992,0.0260854,230.337,0
0.197137,-0.23486,1.18917,0.0976738,231.294,0
0.217091,-0.219374,1.21666,0.092044,230.917,0
0.226461,-0.18346,1.27287,0.0857485,230.594,0
0.20115,-0.154495,1.29983,0.0850845,230.708,0
0.198959,0.0338922,1.36081,-0.0225846,230.235,0
0.180728,0.0546791,1.34475,-0.0373142,230.396,0
0.196364,0.0896744,1.3423,-0.0569917,230.415,0
0.198724,0.122074,1.32523,-0.0729624,230.55,0
0.158825,0.230256,1.19812,-0.106358,231.806,0
0.152586,0.257586,1.15008,-0.105207,232.169,0
0.17281,0.209282,1.23004,-0.102933,231.432,0
0.192979,0.195008,1.25192,-0.0966955,231.064,0
0.20115,0.154495,1.29982,-0.0850888,230.708,0
0.102585,0.275208,1.12392,-0.101767,233.274,0
0.0644838,0.278289,1.12478,-0.0855654,234.089,0
0.125542,0.299749,1.06129,-0.0969349,233.13,0
0.0435628,0.289326,1.10654,-0.0665562,234.774,0
0.0196754,0.295783,1.09608,-0.0356437,235.524,0
0,0.303507,1.08029,-1.89385e-32,236.28,1
0.177182,0.281317,1.09203,-0.0955131,231.953,0
0.157228,0.312289,1.014,-0.0889592,232.572,0
0.176435,-0.5,1.18214e-31,-3.51583e-30,231.925,3
0.191555,-0.469343,0.222784,0.0045882,231.854,0
0.173006,-0.411159,0.591726,0.0324578,232.559,0
0.208556,-0.438548,0.415692,0.0150776,231.649,0
0.199792,-0.379118,0.737562,0.0466292,231.936,0
0.210414,-0.27816,1.09139,0.0872404,231.364,0
0.22874,-0.319098,0.963019,0.0685296,231.226,0
0.209802,-0.349918,0.857827,0.0598254,231.676,0
0.238905,-0.274184,1.09506,0.0792598,230.872,0
0.20766,-0.121878,1.32934,0.0712064,230.468,0
0.224431,0.0206855,1.37892,-0.0129563,230.043,0
0.203436,0.00385891,1.36647,-0.00256888,230.188,0
0.207913,-0.0261743,1.36777,0.0171257,230.169,0
0.210153,-0.0891921,1.35006,0.0547696,230.308,0
0.21239,-0.0562076,1.36421,0.0356566,230.191,0
0.241947,-0.244491,1.16627,0.083056,230.699,0
0.248236,-0.204967,1.24277,0.0816144,230.43,0
0.233847,-0.137292,1.32707,0.071506,230.29,0
0.247017,-0.165217,1.30068,0.0760727,230.272,0
0.245426,0.0375122,1.38855,-0.0217433,229.896,0
0.221336,0.061826,1.3677,-0.0380322,230.137,0
0.221206,0.1064,1.34596,-0.0615408,230.281,0
0.233847,0.137292,1.32708,-0.0715124,230.289,0
0.18425,0.253865,1.15308,-0.0993436,231.631,0
0.204391,0.222735,1.21066,-0.0958575,231.106,0
