sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star,segment_id_raw,xi_section_star,eta_section_star,section_width_star,u_obs_mask,v_obs_mask,p_obs_mask
1227,B-train-3,bend,section_bands_4,clean,1.96899,0.0909091,,,171.919,0,0.4090909,0,1.96899,0.0909091,0.08,0,0,1
1233,B-train-3,bend,section_bands_4,clean,1.97105,0.0454545,,,171.894,0,0.4545455,0,1.97105,0.0454545,0.08,0,0,1
1255,B-train-3,bend,section_bands_4,clean,1.97932,-0.136364,,,171.795,0,0.3636359999999999,0,1.97932,-0.136364,0.08,0,0,1
1947,B-train-3,bend,section_bands_4,clean,3.32114,0.363636,,,155.707,2,0.1363639999999999,0,3.32114,0.363636,0.08,0,0,1
1948,B-train-3,bend,section_bands_4,clean,3.3232,0.318182,,,155.681,0,0.1818179999999999,0,3.3232,0.318182,0.08,0,0,1
1950,B-train-3,bend,section_bands_4,clean,3.32527,0.272727,,,155.655,0,0.227273,0,3.32527,0.272727,0.08,0,0,1
1956,B-train-3,bend,section_bands_4,clean,3.33561,0.0454545,,,155.522,0,0.4545455,0,3.33561,0.0454545,0.08,0,0,1
1980,B-train-3,bend,section_bands_4,clean,3.34181,-0.0909091,,,155.441,0,0.4090909,0,3.34181,-0.0909091,0.08,0,0,1
1979,B-train-3,bend,section_bands_4,clean,3.34388,-0.136364,,,155.413,0,0.3636359999999999,0,3.34388,-0.136364,0.08,0,0,1
1987,B-train-3,bend,section_bands_4,clean,3.35422,-0.363636,,,155.281,2,0.1363639999999999,0,3.35422,-0.363636,0.08,0,0,1
1989,B-train-3,bend,section_bands_4,clean,3.35628,-0.409091,,,155.255,2,0.090909,0,3.35628,-0.409091,0.08,0,0,1
1990,B-train-3,bend,section_bands_4,clean,3.36042,-0.454545,,,155.205,2,0.045455,0,3.36042,-0.454545,0.08,0,0,1
1988,B-train-3,bend,section_bands_4,clean,3.36042,-0.318182,,,155.207,0,0.1818179999999999,0,3.36042,-0.318182,0.08,0,0,1
1983,B-train-3,bend,section_bands_4,clean,3.36042,-0.272727,,,155.208,0,0.227273,0,3.36042,-0.272727,0.08,0,0,1
1984,B-train-3,bend,section_bands_4,clean,3.36042,-0.227273,,,155.21,0,0.272727,0,3.36042,-0.227273,0.08,0,0,1
1985,B-train-3,bend,section_bands_4,clean,3.36042,-0.181818,,,155.212,0,0.3181819999999999,0,3.36042,-0.181818,0.08,0,0,1
1982,B-train-3,bend,section_bands_4,clean,3.36042,-0.0454546,,,155.219,0,0.4545454,0,3.36042,-0.0454546,0.08,0,0,1
1981,B-train-3,bend,section_bands_4,clean,3.36042,-7.3108e-09,,,155.222,0,0.4999999926892,0,3.36042,-7.3108e-09,0.08,0,0,1
