sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star,segment_id_raw,xi_section_star,eta_section_star,section_width_star,u_obs_mask,v_obs_mask,p_obs_mask
1226,B-base,bend,section_bands_4,clean,1.95223,0.454545,,,209.772,2,0.045455,0,1.95223,0.454545,0.08,0,0,1
1225,B-base,bend,section_bands_4,clean,1.95637,0.363636,,,209.722,2,0.1363639999999999,0,1.95637,0.363636,0.08,0,0,1
1231,B-base,bend,section_bands_4,clean,1.9574,0.181818,,,209.71,0,0.3181819999999999,0,1.9574,0.181818,0.08,0,0,1
1230,B-base,bend,section_bands_4,clean,1.9605,0.272727,,,209.673,0,0.227273,0,1.9605,0.272727,0.08,0,0,1
1232,B-base,bend,section_bands_4,clean,1.96877,0.0909091,,,209.573,0,0.4090909,0,1.96877,0.0909091,0.08,0,0,1
1244,B-base,bend,section_bands_4,clean,1.97704,-0.0909091,,,209.474,0,0.4090909,0,1.97704,-0.0909091,0.08,0,0,1
1915,B-base,bend,section_bands_4,clean,3.32077,0.363636,,,193.358,2,0.1363639999999999,0,3.32077,0.363636,0.08,0,0,1
1917,B-base,bend,section_bands_4,clean,3.32284,0.318182,,,193.333,0,0.1818179999999999,0,3.32284,0.318182,0.08,0,0,1
1942,B-base,bend,section_bands_4,clean,3.32491,0.272727,,,193.307,0,0.227273,0,3.32491,0.272727,0.08,0,0,1
1943,B-base,bend,section_bands_4,clean,3.32904,0.181818,,,193.256,0,0.3181819999999999,0,3.32904,0.181818,0.08,0,0,1
1944,B-base,bend,section_bands_4,clean,3.33111,0.136364,,,193.23,0,0.3636359999999999,0,3.33111,0.136364,0.08,0,0,1
1930,B-base,bend,section_bands_4,clean,3.33214,-0.25,,,193.205,0,0.25,0,3.33214,-0.25,0.08,0,0,1
1945,B-base,bend,section_bands_4,clean,3.33318,0.0909091,,,193.203,0,0.4090909,0,3.33318,0.0909091,0.08,0,0,1
1946,B-base,bend,section_bands_4,clean,3.33524,0.0454545,,,193.177,0,0.4545455,0,3.33524,0.0454545,0.08,0,0,1
1947,B-base,bend,section_bands_4,clean,3.33731,-1.12722e-08,,,193.151,0,0.4999999887278,0,3.33731,-1.12722e-08,0.08,0,0,1
1955,B-base,bend,section_bands_4,clean,3.33938,-0.0454545,,,193.124,0,0.4545455,0,3.33938,-0.0454545,0.08,0,0,1
1954,B-base,bend,section_bands_4,clean,3.34145,-0.0909091,,,193.098,0,0.4090909,0,3.34145,-0.0909091,0.08,0,0,1
1958,B-base,bend,section_bands_4,clean,3.34558,-0.181818,,,193.045,0,0.3181819999999999,0,3.34558,-0.181818,0.08,0,0,1
1951,B-base,bend,section_bands_4,clean,3.35178,-0.318182,,,192.967,0,0.1818179999999999,0,3.35178,-0.318182,0.08,0,0,1
1949,B-base,bend,section_bands_4,clean,3.35385,-0.363636,,,192.942,2,0.1363639999999999,0,3.35385,-0.363636,0.08,0,0,1
1934,B-base,bend,section_bands_4,clean,3.36005,-0.454545,,,192.867,2,0.045455,0,3.36005,-0.454545,0.08,0,0,1
1948,B-base,bend,section_bands_4,clean,3.36005,-0.409091,,,192.867,2,0.090909,0,3.36005,-0.409091,0.08,0,0,1
